State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,severity,hour,month,day_enc,road_type_enc,weather_enc,road_cond_enc,lighting_enc,alcohol,num_vehicles,num_casualties,junction_enc,cause_enc,risk_score,latitude,longitude,highway,state_region
Maharashtra,Pune,2018,July,Saturday,8:57,Minor,3,Car,10,4,Stormy,National Highway,Damaged,Dawn,Signals,42,54,Female,Expired,No,Bridge,1,8,7,5,0,4,0,1,0,3,10,0,0,7.27,18.0787,78.50093,NH44_Nagpur_Hyderabad,Telangana
Nagaland,Unknown,2022,September,Tuesday,22:21,Fatal,2,Truck,1,0,Clear,National Highway,Under Construction,Dusk,Police Checkpost,109,65,Male,Valid,Yes,Curve,3,22,9,1,0,0,2,3,1,2,1,0,0,2.73,24.09045,73.45869,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Chandigarh,Unknown,2018,June,Tuesday,11:30,Fatal,5,Cycle,3,2,Rainy,Urban Road,Damaged,Dawn,Police Checkpost,32,46,Female,Valid,Yes,Curve,3,11,6,1,2,3,0,1,1,5,3,0,0,5.15,20.52444,79.04913,NH44_Nagpur_Hyderabad,Telangana
Telangana,Unknown,2021,April,Thursday,5:49,Serious,4,Pedestrian,1,5,Foggy,State Highway,Dry,Daylight,Police Checkpost,77,52,Male,,No,Bridge,2,5,4,3,1,1,1,2,0,4,1,0,0,6.06,15.43101,77.16885,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Tripura,Unknown,2023,December,Monday,22:35,Serious,1,Bus,2,1,Clear,State Highway,Under Construction,Dark,,80,39,Male,,Yes,Bridge,2,22,12,0,1,0,2,0,1,1,2,0,0,3.33,23.96234,79.14525,NH44_Agra_Nagpur,Madhya Pradesh
Chandigarh,Unknown,2020,August,Thursday,0:11,Minor,5,Truck,4,4,Rainy,Urban Road,Under Construction,Dawn,,116,67,Male,,Yes,Bridge,1,0,8,3,2,3,2,1,1,5,4,0,0,6.06,23.01901,80.45993,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Chhattisgarh,Unknown,2019,May,Friday,7:19,Minor,5,Truck,4,4,Rainy,Urban Road,Under Construction,Dusk,,35,58,Female,Valid,Yes,Intersection,1,7,5,4,2,3,2,3,1,5,4,0,0,6.06,19.16455,78.61292,NH44_Nagpur_Hyderabad,Telangana
Punjab,Unknown,2019,November,Wednesday,9:56,Serious,5,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signs,97,45,Male,Valid,Yes,Intersection,2,9,11,2,1,1,2,3,1,5,6,0,0,3.64,21.45736,82.42801,NH30_Patna_Visakhapatnam,Chhattisgarh
Madhya Pradesh,Unknown,2019,November,Thursday,10:0,Minor,1,Auto-Rickshaw,8,5,Hazy,Village Road,Dry,Dark,Police Checkpost,100,69,Female,Expired,Yes,Curve,1,10,11,3,3,2,1,0,1,1,8,0,0,8.18,23.8921,79.17622,NH44_Agra_Nagpur,Madhya Pradesh
Puducherry,Unknown,2018,July,Tuesday,13:41,Minor,5,Car,1,1,Stormy,Village Road,Damaged,Dawn,Police Checkpost,49,35,Female,,No,Curve,1,13,7,1,3,4,0,1,0,5,1,0,0,1.82,26.22988,78.47537,NH44_Agra_Nagpur,Madhya Pradesh
Gujarat,Surat,2022,July,Sunday,2:41,Minor,3,Auto-Rickshaw,1,0,Hazy,Urban Road,Wet,Daylight,,46,62,Female,Valid,No,Bridge,1,2,7,6,2,2,3,2,0,3,1,0,0,0.91,18.67324,84.27626,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
West Bengal,Siliguri,2018,December,Sunday,19:34,Minor,5,Auto-Rickshaw,5,0,Hazy,Urban Road,Dry,Dark,,106,24,Male,Expired,Yes,Bridge,1,19,12,6,2,2,1,0,1,5,5,0,0,2.73,24.94335,83.90965,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Telangana,Unknown,2021,March,Saturday,10:31,Fatal,1,Pedestrian,1,0,Foggy,Village Road,Damaged,Dusk,Signals,41,52,Male,,No,Bridge,3,10,3,5,3,1,0,3,0,1,1,0,0,2.12,28.26654,77.16972,NH44_Delhi_Agra,Uttar Pradesh
Bihar,Unknown,2023,November,Monday,14:2,Fatal,3,Cycle,3,2,Stormy,National Highway,Dry,Dark,Signs,104,45,Male,Valid,No,Straight Road,3,14,11,0,0,4,1,0,0,3,3,0,0,4.55,27.5251,78.18848,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Sikkim,Unknown,2020,March,Sunday,6:42,Minor,5,Two-Wheeler,4,2,Clear,Village Road,Dry,Dusk,Police Checkpost,50,45,Female,Valid,Yes,Bridge,1,6,3,6,3,0,1,3,1,5,4,0,0,4.24,20.39305,86.17281,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Rajasthan,Udaipur,2022,April,Friday,22:3,Serious,4,Car,7,5,Foggy,State Highway,Under Construction,Dark,,37,38,Male,Valid,Yes,Straight Road,2,22,4,4,1,1,2,0,1,4,7,0,0,8.48,22.9454,79.49039,NH44_Agra_Nagpur,Madhya Pradesh
Nagaland,Unknown,2018,May,Saturday,2:24,Fatal,1,Auto-Rickshaw,7,4,Clear,Urban Road,Under Construction,Daylight,Police Checkpost,88,40,Female,Expired,No,Curve,3,2,5,5,2,0,2,2,0,1,7,0,0,7.58,21.14409,79.14824,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Arunachal Pradesh,Unknown,2019,October,Tuesday,19:51,Minor,4,Car,3,3,Clear,State Highway,Damaged,Daylight,,90,62,Male,Valid,Yes,Straight Road,1,19,10,1,1,0,0,2,1,4,3,0,0,4.85,32.70812,74.82265,NH44_North,Jammu & Kashmir
Kerala,Unknown,2020,October,Saturday,0:47,Fatal,1,Cycle,2,5,Stormy,Village Road,Wet,Daylight,Signals,108,40,Male,,No,Bridge,3,0,10,5,3,4,3,2,0,1,2,0,0,6.97,24.19266,84.55231,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Tripura,Unknown,2023,January,Sunday,9:9,Minor,1,Cycle,9,2,Hazy,National Highway,Wet,Dusk,Signals,79,63,Male,Expired,Yes,Straight Road,1,9,1,6,0,2,3,3,1,1,9,0,0,5.76,18.4584,73.87162,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Telangana,Unknown,2022,May,Thursday,4:55,Minor,5,Two-Wheeler,7,0,Clear,Village Road,Damaged,Dark,Signs,64,22,Male,Valid,Yes,Bridge,1,4,5,3,3,0,0,0,1,5,7,0,0,3.33,27.94634,77.36798,NH44_Delhi_Agra,Uttar Pradesh
Sikkim,Unknown,2021,November,Thursday,0:26,Minor,5,Auto-Rickshaw,3,2,Clear,Urban Road,Damaged,Daylight,Police Checkpost,96,57,Female,Valid,Yes,Straight Road,1,0,11,3,2,0,0,2,1,5,3,0,0,3.94,33.39904,75.28743,NH44_North,Jammu & Kashmir
Haryana,Unknown,2023,July,Friday,17:35,Minor,5,Two-Wheeler,3,1,Rainy,Village Road,Wet,Dawn,Signs,45,29,Male,Expired,No,Intersection,1,17,7,4,3,3,3,1,0,5,3,0,0,2.42,8.87588,77.40142,NH66_West_Coast,Maharashtra / Kerala
Gujarat,Vadodara,2021,March,Sunday,19:43,Serious,2,Cycle,6,4,Rainy,National Highway,Under Construction,Daylight,Signals,52,44,Female,Valid,Yes,Straight Road,2,19,3,6,0,3,2,2,1,2,6,0,0,7.27,20.0552,73.43641,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Sikkim,Unknown,2022,October,Sunday,3:1,Fatal,2,Car,10,4,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,107,46,Female,Expired,No,Intersection,3,3,10,6,2,4,0,2,0,2,10,0,0,8.48,27.94439,77.34164,NH44_Delhi_Agra,Uttar Pradesh
Nagaland,Unknown,2018,October,Saturday,14:7,Fatal,5,Truck,10,5,Rainy,Urban Road,Wet,Dark,Police Checkpost,62,25,Male,Valid,Yes,Intersection,3,14,10,5,2,3,3,0,1,5,10,0,0,10.0,18.59098,73.78431,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Gujarat,Vadodara,2021,October,Tuesday,2:46,Serious,1,Auto-Rickshaw,5,4,Foggy,Village Road,Damaged,Dark,,33,66,Male,Valid,No,Curve,2,2,10,1,3,1,0,0,0,1,5,0,0,6.36,14.95108,75.28191,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Haryana,Unknown,2023,September,Thursday,16:51,Fatal,1,Truck,8,0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,96,40,Female,Valid,No,Straight Road,3,16,9,3,0,4,2,1,0,1,8,0,0,4.24,19.24953,78.47318,NH44_Nagpur_Hyderabad,Telangana
Maharashtra,Nagpur,2023,March,Tuesday,11:29,Fatal,2,Bus,4,3,Stormy,State Highway,Under Construction,Daylight,Signs,30,22,Male,Expired,Yes,Curve,3,11,3,1,1,4,2,2,1,2,4,0,0,6.36,17.89704,74.81866,NH9_Pune_Hyderabad,Maharashtra / Telangana
Sikkim,Unknown,2021,November,Monday,5:22,Serious,2,Pedestrian,9,2,Hazy,National Highway,Wet,Dark,Signs,63,57,Female,Valid,Yes,Bridge,2,5,11,0,0,2,3,0,1,2,9,0,0,6.36,9.87372,77.43018,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Madhya Pradesh,Unknown,2018,November,Tuesday,7:47,Serious,3,Truck,5,3,Clear,Village Road,Dry,Dark,Signs,109,52,Female,,No,Intersection,2,7,11,1,3,0,1,0,0,3,5,0,0,5.45,20.65351,81.82326,NH30_Patna_Visakhapatnam,Chhattisgarh
Kerala,Unknown,2019,November,Friday,15:44,Minor,3,Cycle,5,0,Hazy,State Highway,Damaged,Dawn,Signals,47,55,Male,Expired,No,Bridge,1,15,11,4,1,2,0,1,0,3,5,0,0,2.12,27.4942,76.58544,NH48_Delhi_Mumbai,Rajasthan / Gujarat
West Bengal,Siliguri,2021,April,Friday,4:4,Serious,2,Two-Wheeler,2,2,Clear,Urban Road,Dry,Dark,,36,26,Male,Expired,No,Curve,2,4,4,4,2,0,1,0,0,2,2,0,0,3.64,22.9962,79.38814,NH44_Agra_Nagpur,Madhya Pradesh
Karnataka,Mangalore,2019,September,Thursday,16:40,Minor,5,Pedestrian,8,4,Clear,Village Road,Wet,Dark,Signs,117,37,Male,,Yes,Straight Road,1,16,9,3,3,0,3,0,1,5,8,0,0,7.27,21.48501,82.41265,NH30_Patna_Visakhapatnam,Chhattisgarh
Nagaland,Unknown,2019,September,Sunday,10:32,Serious,2,Pedestrian,3,4,Hazy,Village Road,Under Construction,Dawn,Police Checkpost,86,48,Male,Valid,No,Straight Road,2,10,9,6,3,2,2,1,0,2,3,0,0,5.76,21.8307,72.18683,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Jammu and Kashmir,Unknown,2020,December,Sunday,22:39,Serious,3,Bus,0,5,Hazy,National Highway,Under Construction,Dark,,51,34,Male,Expired,Yes,Bridge,2,22,12,6,0,2,2,0,1,3,0,0,0,6.36,27.80763,77.467,NH44_Delhi_Agra,Uttar Pradesh
Mizoram,Unknown,2021,August,Sunday,21:33,Minor,1,Cycle,3,0,Rainy,State Highway,Damaged,Dusk,Signals,86,70,Male,Expired,No,Curve,1,21,8,6,1,3,0,3,0,1,3,0,0,1.52,17.87616,74.85973,NH9_Pune_Hyderabad,Maharashtra / Telangana
Rajasthan,Udaipur,2021,June,Wednesday,8:32,Fatal,4,Two-Wheeler,2,2,Clear,Urban Road,Damaged,Dawn,,105,64,Male,Valid,Yes,Curve,3,8,6,2,2,0,0,1,1,4,2,0,0,4.85,23.89619,81.2551,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Haryana,Unknown,2020,September,Friday,6:33,Minor,4,Auto-Rickshaw,6,1,Clear,Village Road,Wet,Daylight,Signals,56,43,Male,Expired,Yes,Intersection,1,6,9,4,3,0,3,2,1,4,6,0,0,3.94,32.41617,77.19495,NH22_Shimla_Manali,Himachal Pradesh
West Bengal,Kolkata,2022,January,Wednesday,1:43,Minor,1,Truck,8,5,Foggy,Village Road,Wet,Dusk,Signals,95,41,Female,,No,Bridge,1,1,1,2,3,1,3,3,0,1,8,0,0,7.58,13.91197,74.89094,NH66_West_Coast,Maharashtra / Kerala
Assam,Unknown,2021,October,Saturday,6:52,Fatal,1,Truck,2,5,Hazy,Urban Road,Damaged,Dusk,Signs,37,42,Female,,Yes,Bridge,3,6,10,5,2,2,0,3,1,1,2,0,0,7.58,21.78682,79.03106,NH44_Agra_Nagpur,Madhya Pradesh
Uttar Pradesh,Kanpur,2020,March,Friday,12:31,Minor,5,Cycle,0,2,Foggy,Village Road,Damaged,Dusk,Signals,108,33,Male,Expired,Yes,Straight Road,1,12,3,4,3,1,0,3,1,5,0,0,0,3.03,25.3052,82.98288,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Bihar,Unknown,2018,April,Thursday,20:43,Minor,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Police Checkpost,55,47,Female,Valid,Yes,Intersection,1,20,4,3,1,0,3,0,1,5,6,0,0,7.58,27.82998,77.47274,NH44_Delhi_Agra,Uttar Pradesh
Mizoram,Unknown,2023,October,Saturday,17:58,Minor,3,Car,7,1,Foggy,State Highway,Wet,Dusk,,117,28,Male,,No,Intersection,1,17,10,5,1,1,3,3,0,3,7,0,0,3.64,22.6256,88.36022,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Himachal Pradesh,Unknown,2018,November,Sunday,7:5,Minor,3,Truck,7,0,Rainy,State Highway,Wet,Dusk,Signals,109,30,Male,,No,Straight Road,1,7,11,6,1,3,3,3,0,3,7,0,0,2.73,23.52247,73.28196,NH27_East_West,Rajasthan / MP / UP
Tamil Nadu,Madurai,2021,May,Wednesday,21:47,Minor,4,Bus,4,1,Clear,National Highway,Damaged,Dawn,Signals,40,70,Female,Expired,No,Intersection,1,21,5,2,0,0,0,1,0,4,4,0,0,2.73,25.8399,82.21173,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Goa,Unknown,2022,October,Tuesday,20:31,Fatal,5,Truck,6,0,Rainy,State Highway,Under Construction,Daylight,Signals,94,44,Female,,Yes,Intersection,3,20,10,1,1,3,2,2,1,5,6,0,0,4.24,17.855,74.93597,NH9_Pune_Hyderabad,Maharashtra / Telangana
Goa,Unknown,2020,November,Wednesday,17:25,Minor,1,Two-Wheeler,7,3,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,55,36,Female,Valid,No,Intersection,1,17,11,2,1,4,2,3,0,1,7,0,0,5.45,28.56098,77.27263,NH44_Delhi_Agra,Uttar Pradesh
Puducherry,Unknown,2023,September,Thursday,5:38,Serious,1,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Daylight,Signals,52,33,Male,Expired,Yes,Intersection,2,5,9,3,1,3,0,2,1,1,6,0,0,3.64,22.21504,83.03512,NH30_Patna_Visakhapatnam,Chhattisgarh
Tamil Nadu,Madurai,2023,December,Monday,1:56,Fatal,1,Bus,3,5,Rainy,State Highway,Damaged,Dusk,Signals,87,28,Female,Expired,No,Intersection,3,1,12,0,1,3,0,3,0,1,3,0,0,7.27,22.35454,79.12424,NH44_Agra_Nagpur,Madhya Pradesh
Tamil Nadu,Madurai,2019,September,Thursday,22:5,Fatal,3,Bus,4,5,Stormy,Village Road,Under Construction,Dusk,Signals,51,54,Female,,Yes,Intersection,3,22,9,3,3,4,2,3,1,3,4,0,0,8.18,27.78205,77.46563,NH44_Delhi_Agra,Uttar Pradesh
Nagaland,Unknown,2020,June,Wednesday,17:9,Minor,5,Cycle,10,2,Stormy,Urban Road,Dry,Daylight,Police Checkpost,54,58,Female,,No,Intersection,1,17,6,2,2,4,1,2,0,5,10,0,0,5.45,32.09197,77.05392,NH22_Shimla_Manali,Himachal Pradesh
Punjab,Unknown,2019,September,Wednesday,1:43,Serious,2,Two-Wheeler,1,0,Clear,Urban Road,Wet,Daylight,,87,49,Male,Valid,Yes,Straight Road,2,1,9,2,2,0,3,2,1,2,1,0,0,2.12,12.55152,79.51924,NH44_Bangalore_Chennai,Tamil Nadu
Uttarakhand,Unknown,2022,September,Saturday,21:34,Serious,2,Truck,3,0,Foggy,Village Road,Damaged,Dark,Police Checkpost,71,28,Female,,No,Curve,2,21,9,5,3,1,0,0,0,2,3,0,0,2.12,12.15077,78.42713,NH44_Bangalore_Chennai,Tamil Nadu
Tamil Nadu,Coimbatore,2023,September,Wednesday,0:21,Minor,5,Bus,4,3,Stormy,State Highway,Dry,Dark,Signals,62,55,Female,Valid,No,Intersection,1,0,9,2,1,4,1,0,0,5,4,0,0,4.55,16.49204,80.54848,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Sikkim,Unknown,2019,June,Sunday,17:0,Serious,5,Car,4,5,Rainy,National Highway,Damaged,Dark,Signals,118,34,Female,,Yes,Bridge,2,17,6,6,0,3,0,0,1,5,4,0,0,7.58,17.69094,83.33091,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Punjab,Unknown,2021,April,Friday,15:48,Minor,4,Pedestrian,10,0,Rainy,National Highway,Damaged,Dusk,Signs,79,39,Female,Expired,No,Curve,1,15,4,4,0,3,0,3,0,4,10,0,0,3.64,26.90367,75.77043,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Assam,Unknown,2018,February,Saturday,20:2,Minor,4,Bus,10,3,Clear,Urban Road,Under Construction,Dawn,Police Checkpost,59,52,Female,,Yes,Bridge,1,20,2,5,2,0,2,1,1,4,10,0,0,6.97,26.1718,86.51041,NH27_East_West,Rajasthan / MP / UP
Punjab,Unknown,2019,May,Friday,19:5,Fatal,5,Two-Wheeler,6,5,Stormy,State Highway,Wet,Dawn,Signals,80,66,Female,Valid,Yes,Intersection,3,19,5,4,1,4,3,1,1,5,6,0,0,8.79,25.75672,82.20285,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Himachal Pradesh,Unknown,2020,May,Friday,18:56,Minor,5,Car,3,1,Hazy,State Highway,Wet,Dawn,Signals,33,68,Female,Valid,No,Intersection,1,18,5,4,1,2,3,1,0,5,3,0,0,2.42,8.24267,77.20804,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Meghalaya,Unknown,2023,November,Wednesday,1:34,Minor,5,Truck,8,1,Foggy,Urban Road,Under Construction,Dawn,Signals,81,58,Male,,Yes,Bridge,1,1,11,2,2,1,2,1,1,5,8,0,0,4.55,27.42853,77.73533,NH44_Delhi_Agra,Uttar Pradesh
Himachal Pradesh,Unknown,2021,May,Tuesday,0:37,Minor,2,Car,7,0,Clear,Village Road,Dry,Dark,,64,69,Male,,No,Straight Road,1,0,5,1,3,0,1,0,0,2,7,0,0,2.73,26.83468,80.92593,NH27_East_West,Rajasthan / MP / UP
Jammu and Kashmir,Unknown,2018,May,Saturday,15:16,Serious,5,Two-Wheeler,10,3,Foggy,National Highway,Dry,Daylight,Police Checkpost,83,68,Female,Expired,No,Intersection,2,15,5,5,0,1,1,2,0,5,10,0,0,6.97,15.86322,80.22934,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Delhi,Dwarka,2018,November,Wednesday,10:45,Serious,1,Truck,7,3,Stormy,Urban Road,Under Construction,Daylight,Signals,105,67,Female,Valid,Yes,Bridge,2,10,11,2,2,4,2,2,1,1,7,0,0,6.67,28.58105,77.19209,NH44_Delhi_Agra,Uttar Pradesh
Goa,Unknown,2023,March,Thursday,13:47,Minor,5,Truck,1,2,Stormy,National Highway,Wet,Dusk,Signals,75,34,Female,,No,Straight Road,1,13,3,3,0,4,3,3,0,5,1,0,0,2.73,15.30904,77.02127,NH44_Hyderabad_Bangalore,Karnataka
Puducherry,Unknown,2020,February,Wednesday,18:48,Fatal,1,Car,10,0,Foggy,Urban Road,Wet,Dark,Police Checkpost,106,48,Female,Expired,Yes,Bridge,3,18,2,2,2,1,3,0,1,1,10,0,0,5.45,22.34874,79.17904,NH44_Agra_Nagpur,Madhya Pradesh
Jammu and Kashmir,Unknown,2019,November,Sunday,0:51,Serious,2,Auto-Rickshaw,8,2,Clear,Village Road,Dry,Dawn,,50,33,Male,Expired,Yes,Straight Road,2,0,11,6,3,0,1,1,1,2,8,0,0,6.06,20.47633,86.25514,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Arunachal Pradesh,Unknown,2021,December,Wednesday,9:40,Fatal,4,Auto-Rickshaw,2,0,Foggy,Village Road,Dry,Dark,,51,63,Female,Expired,No,Intersection,3,9,12,2,3,1,1,0,0,4,2,0,0,2.42,29.69953,78.28555,NH58_Delhi_Badrinath,Uttarakhand
Karnataka,Mangalore,2019,July,Friday,22:19,Fatal,2,Truck,3,2,Foggy,National Highway,Under Construction,Daylight,Signals,72,28,Female,Valid,Yes,Bridge,3,22,7,4,0,1,2,2,1,2,3,0,0,5.15,28.58156,77.27891,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Goa,Unknown,2022,May,Wednesday,6:36,Fatal,4,Bus,0,0,Clear,National Highway,Dry,Dark,Signs,91,29,Female,,No,Straight Road,3,6,5,2,0,0,1,0,0,4,0,0,0,1.82,22.92225,79.46569,NH44_Agra_Nagpur,Madhya Pradesh
Delhi,New Delhi,2023,March,Tuesday,22:57,Minor,2,Bus,7,1,Rainy,State Highway,Damaged,Dark,,65,65,Male,Valid,Yes,Bridge,1,22,3,1,1,3,0,0,1,2,7,0,0,4.24,18.23968,74.22815,NH9_Pune_Hyderabad,Maharashtra / Telangana
Chhattisgarh,Unknown,2022,October,Friday,0:30,Serious,5,Cycle,7,5,Foggy,National Highway,Under Construction,Dawn,Police Checkpost,55,63,Male,Expired,No,Curve,2,0,10,4,0,1,2,1,0,5,7,0,0,7.88,19.83527,79.50479,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Haryana,Unknown,2019,December,Sunday,23:51,Minor,2,Auto-Rickshaw,0,2,Rainy,Village Road,Dry,Dawn,Police Checkpost,53,25,Female,Valid,No,Curve,1,23,12,6,3,3,1,1,0,2,0,0,0,2.42,18.22977,74.22777,NH9_Pune_Hyderabad,Maharashtra / Telangana
Haryana,Unknown,2019,January,Friday,15:2,Minor,3,Two-Wheeler,2,1,Foggy,Village Road,Under Construction,Daylight,Signals,40,54,Male,Valid,Yes,Straight Road,1,15,1,4,3,1,2,2,1,3,2,0,0,2.73,24.2525,89.23449,NH52_Barasat_Guwahati,West Bengal / Assam
Assam,Unknown,2023,February,Saturday,19:28,Minor,4,Car,5,4,Rainy,National Highway,Damaged,Dusk,,115,32,Female,Valid,No,Intersection,1,19,2,5,0,3,0,3,0,4,5,0,0,5.76,28.33596,77.14537,NH44_Delhi_Agra,Uttar Pradesh
Madhya Pradesh,Unknown,2023,June,Friday,15:24,Minor,2,Pedestrian,10,2,Clear,National Highway,Under Construction,Dawn,Signals,110,28,Female,,No,Straight Road,1,15,6,4,0,0,2,1,0,2,10,0,0,5.45,11.23761,77.90653,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Meghalaya,Unknown,2022,August,Thursday,11:47,Minor,4,Cycle,7,0,Stormy,National Highway,Damaged,Dark,,107,45,Female,Expired,Yes,Straight Road,1,11,8,3,0,4,0,0,1,4,7,0,0,3.33,25.5215,90.04158,NH52_Barasat_Guwahati,West Bengal / Assam
Chandigarh,Unknown,2022,March,Thursday,16:43,Fatal,2,Auto-Rickshaw,8,5,Clear,National Highway,Damaged,Dusk,Signs,95,64,Male,Expired,No,Straight Road,3,16,3,3,0,0,0,3,0,2,8,0,0,8.79,24.90262,89.89638,NH52_Barasat_Guwahati,West Bengal / Assam
Rajasthan,Udaipur,2020,May,Monday,22:59,Fatal,1,Pedestrian,1,1,Clear,National Highway,Dry,Daylight,Signals,111,55,Female,Valid,Yes,Straight Road,3,22,5,0,0,0,1,2,1,1,1,0,0,3.64,17.40299,78.49502,NH9_Pune_Hyderabad,Maharashtra / Telangana
Punjab,Unknown,2021,February,Wednesday,11:35,Fatal,4,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Dark,,79,52,Female,Valid,No,Curve,3,11,2,2,1,3,0,0,0,4,6,0,0,3.64,16.70065,73.75475,NH66_West_Coast,Maharashtra / Kerala
Assam,Unknown,2020,October,Monday,4:48,Minor,4,Cycle,9,1,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,113,47,Female,Valid,Yes,Bridge,1,4,10,0,3,2,2,2,1,4,9,0,0,4.85,17.38002,73.48308,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Telangana,Unknown,2022,June,Friday,17:52,Fatal,4,Pedestrian,1,5,Hazy,National Highway,Damaged,Daylight,,101,30,Male,Valid,Yes,Bridge,3,17,6,4,0,2,0,2,1,4,1,0,0,7.27,11.21013,77.86768,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Uttarakhand,Unknown,2022,November,Wednesday,15:48,Serious,1,Cycle,7,0,Clear,State Highway,Damaged,Daylight,Signals,90,31,Male,,Yes,Curve,2,15,11,2,1,0,0,2,1,1,7,0,0,3.94,31.11083,77.20848,NH22_Shimla_Manali,Himachal Pradesh
Karnataka,Bangalore,2021,March,Wednesday,3:38,Minor,3,Car,7,4,Rainy,Village Road,Damaged,Dusk,Police Checkpost,86,48,Male,Expired,Yes,Bridge,1,3,3,2,3,3,0,3,1,3,7,0,0,6.97,22.78745,88.54618,NH52_Barasat_Guwahati,West Bengal / Assam
Delhi,New Delhi,2018,November,Wednesday,9:22,Fatal,4,Cycle,9,4,Stormy,Village Road,Dry,Dawn,Signals,79,58,Male,Valid,Yes,Curve,3,9,11,2,3,4,1,1,1,4,9,0,0,8.79,32.91769,75.1957,NH44_North,Jammu & Kashmir
Maharashtra,Pune,2018,November,Tuesday,0:40,Fatal,4,Auto-Rickshaw,4,0,Hazy,Village Road,Wet,Dusk,Police Checkpost,113,55,Female,Valid,Yes,Intersection,3,0,11,1,3,2,3,3,1,4,4,0,0,3.64,27.78173,77.41253,NH44_Delhi_Agra,Uttar Pradesh
Uttarakhand,Unknown,2018,October,Wednesday,23:54,Serious,5,Auto-Rickshaw,3,2,Rainy,Village Road,Dry,Daylight,Signals,62,51,Female,Expired,No,Straight Road,2,23,10,2,3,3,1,2,0,5,3,0,0,3.94,27.16947,77.92898,NH44_Delhi_Agra,Uttar Pradesh
Himachal Pradesh,Unknown,2023,October,Sunday,7:45,Minor,2,Auto-Rickshaw,6,3,Clear,State Highway,Wet,Dawn,Signals,39,23,Male,Valid,No,Intersection,1,7,10,6,1,0,3,1,0,2,6,0,0,5.15,18.27563,74.20172,NH9_Pune_Hyderabad,Maharashtra / Telangana
Odisha,Unknown,2019,September,Sunday,20:20,Serious,5,Two-Wheeler,10,3,Stormy,Urban Road,Dry,Dawn,Signals,95,60,Male,,Yes,Intersection,2,20,9,6,2,4,1,1,1,5,10,0,0,7.58,17.39415,75.42272,NH9_Pune_Hyderabad,Maharashtra / Telangana
Tamil Nadu,Coimbatore,2021,September,Tuesday,4:20,Fatal,4,Bus,6,0,Hazy,Village Road,Wet,Dusk,,72,46,Female,,Yes,Intersection,3,4,9,1,3,2,3,3,1,4,6,0,0,4.24,26.29666,81.49336,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Haryana,Unknown,2019,August,Monday,14:16,Minor,4,Bus,5,4,Hazy,State Highway,Dry,Daylight,Signs,69,36,Male,,Yes,Straight Road,1,14,8,0,1,2,1,2,1,4,5,0,0,6.36,12.93132,77.62287,NH44_Hyderabad_Bangalore,Karnataka
